Total_Packets,Total_Time
10,2.0852825439997105
50,5.047970543000702
100,5.49971852499948
250,11.097386235000158
500,18.305550740999024
1000,26.114484089999678
2500,72.72855836000053
3500,81.2418872849994
5000,133.732551178
